,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos
120,M. Gasol Mem - C ,evan's Neat Team,6,34,121,99%,32:19,5.3/12.7,.421,2.0/3.0,.667,1.0,13.7,8.7,7.0,0.8,0.5,2.5,0, C 
121,"A. Burks Cle - PG,SG ",Sometimes I Dribble,7,273,122,15%,24:42,2.9/8.1,.351,2.7/3.1,.864,0.7,9.1,6.7,2.6,0.7,0.9,1.1,0," PG,SG "
122,"J. Lamb Cha - SG,SF ",You Reach I Teach,7,148,123,76%,27:42,5.4/11.7,.463,2.1/2.4,.882,1.6,14.6,5.3,2.7,0.6,0.4,2.0,0," SG,SF "
123,"R. Bullock Det - SG,SF ",FA,8,163,124,27%,32:07,4.4/11.1,.393,1.4/1.5,.917,2.6,12.8,3.3,3.6,0.5,0.3,1.3,0," SG,SF "
124,"T. Evans Ind - PG,SG ",Westbrook 4 Kidd,6,98,125,62%,19:30,5.3/10.8,.492,2.8/3.2,.895,1.3,14.8,2.7,2.0,0.7,0.0,1.0,0," PG,SG "
125,M. Morris Den - PG ,FA,7,274,126,10%,21:42,4.3/7.7,.556,0.1/0.1,1.000,1.1,9.9,1.4,2.9,0.7,0.0,0.4,0, PG 
126,"B. Adebayo Mia - PF,C ",The Monstars,7,201,127,33%,25:51,2.9/5.0,.571,2.3/2.9,.800,0.0,8.0,6.1,2.1,0.9,1.1,1.9,0," PF,C "
127,"J. Simmons Orl - SG,SF ",FA,3,219,128,2%,21:19,3.7/6.3,.579,1.7/2.3,.714,1.0,10.0,2.7,2.7,0.7,0.3,0.7,0," SG,SF "
128,D. Fox Sac - PG ,Sometimes I Dribble,6,127,129,93%,30:00,4.3/11.8,.366,4.2/5.8,.714,0.8,13.7,4.7,7.2,1.5,0.5,1.8,0, PG 
129,R. Rubio Uta - PG ,Westbrook 4 Kidd,2,51,130,88%,19:00,4.5/8.0,.563,4.0/4.5,.889,1.5,14.5,2.5,4.0,0.5,0.0,2.5,0, PG 
130,"M. Muscala Phi - PF,C ",FA,7,227,131,2%,19:51,2.4/5.0,.486,0.7/0.9,.833,1.3,6.9,3.3,0.9,0.9,0.9,0.7,0," PF,C "
