,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos,name,games_this_week
113,"C. Osman Cle - SF,PF ",FA,7,179,114,41%,30:51,5.9/11.1,.526,2.0/2.9,.700,2.0,15.7,3.7,1.7,1.3,0.1,1.9,0," SF,PF ","C. Osman Cle - SF,PF ",2.0
114,"T. Warren Pho - SF,PF ",You Reach I Teach,5,168,115,68%,32:00,5.4/12.0,.450,2.2/2.6,.846,1.0,14.0,3.6,0.8,1.2,0.8,1.4,INJ," SF,PF ","T. Warren Pho - SF,PF ",2.0
115,"K. Kuzma LAL - SF,PF ",Taxmaddness,6,80,116,92%,34:40,8.5/17.8,.477,3.2/4.3,.731,2.3,22.5,7.0,3.2,0.8,0.0,3.3,0," SF,PF ","K. Kuzma LAL - SF,PF ",3.0
116,"C. Miles Tor - SG,SF ",FA,5,231,117,1%,14:00,3.2/6.8,.471,1.0/1.4,.714,2.0,9.4,1.6,0.4,1.4,0.4,0.4,0," SG,SF ","C. Miles Tor - SG,SF ",2.0
117,L. Shamet Phi - PG ,FA,7,293,118,2%,19:25,3.6/7.4,.481,1.0/1.0,1.000,2.1,10.3,1.4,2.3,0.6,0.1,0.6,0, PG ,L. Shamet Phi - PG ,3.0
118,"J. Lamb Cha - SG,SF ",You Reach I Teach,6,148,119,75%,28:30,5.5/13.0,.423,2.7/3.2,.842,2.0,15.7,5.0,2.7,0.5,0.3,1.5,0," SG,SF ","J. Lamb Cha - SG,SF ",4.0
119,"J. Brown Bos - SG,SF ",FA,7,123,120,53%,24:25,4.6/10.4,.438,2.7/3.6,.760,1.6,13.4,4.9,0.4,1.3,0.6,1.3,0," SG,SF ","J. Brown Bos - SG,SF ",4.0
120,"Z. LaVine Chi - PG,SG ",WinterHawk,6,62,121,95%,31:49,6.7/16.0,.417,4.5/5.3,.844,1.7,19.5,3.7,4.7,1.2,0.0,2.8,0," PG,SG ","Z. LaVine Chi - PG,SG ",3.0
121,"B. Bogdanovic Sac - SG,SF ",Stay Out the Paint,6,108,122,76%,28:10,6.0/13.0,.462,1.2/1.5,.778,1.2,14.3,3.3,5.3,1.3,0.3,2.8,0," SG,SF ","B. Bogdanovic Sac - SG,SF ",2.0
122,D. Augustin Orl - PG ,FA,7,131,123,45%,29:08,4.6/8.9,.516,2.0/2.3,.875,2.0,13.1,2.4,4.7,0.4,0.0,2.0,0, PG ,D. Augustin Orl - PG ,3.0
123,"T. Evans Ind - PG,SG ",Westbrook 4 Kidd,6,98,124,64%,20:10,5.3/10.0,.533,2.5/2.8,.882,1.2,14.3,2.2,2.0,0.5,0.0,1.0,0," PG,SG ","T. Evans Ind - PG,SG ",4.0
